Date,Close,High,Low,Open,Volume
2025-01-30,1470.10205078125,1477.1885389993051,1451.1381438616643,1463.115348231929,1016159
2025-01-31,1480.7816162109375,1487.1694826517562,1464.213175201427,1476.8890005799371,892312
2025-02-01,1451.587158203125,1525.0972702363222,1369.9426261325289,1472.7967897427336,4329907
2025-02-03,1457.176513671875,1479.0848888022822,1431.625169843644,1431.625169843644,1127198
2025-02-04,1469.6029052734375,1475.8908640569043,1451.2877891462683,1458.4740625669203,614905
2025-02-05,1466.359130859375,1481.4803752953633,1462.2169901033437,1469.602956946635,791375
2025-02-06,1462.3167724609375,1477.5877562802436,1453.683180219001,1467.2074884568108,1510856
2025-02-07,1468.1556396484375,1473.14614132553,1451.4874127823168,1469.6527901515651,562410
2025-02-10,1445.4488525390625,1471.7488937665867,1442.2549802109872,1460.1210005273056,530759
2025-02-11,1416.304443359375,1447.2455552298054,1400.2350515620947,1445.4489258051842,1448104
2025-02-12,1449.3914794921875,1464.1632918939656,1404.8262735170179,1424.7383272020138,1590502
2025-02-13,1467.70654296875,1476.58966032006,1443.2530847553978,1449.3914261848008,983142
2025-02-14,1462.6661376953125,1474.343985121093,1447.245535722467,1467.7065932964742,625676
2025-02-17,1473.3956298828125,1478.7355640156563,1449.091911685564,1457.7255037405844,717439
2025-02-18,1472.54736328125,1478.1866547653592,1451.6372091689936,1473.4456779860645,679042
2025-02-19,1472.796875,1479.3843130447758,1462.2669892467725,1472.19803914837,391966
2025-02-20,1467.0079345703125,1486.82020203405,1463.2151045271657,1470.2018069362312,346720
2025-02-21,1492.559326171875,1498.5479284260043,1458.9232704081264,1466.9080734136323,1051158
2025-02-24,1483.6761474609375,1492.3595716370464,1472.3975649439965,1477.1884952856963,1116079
2025-02-25,1468.9542236328125,1481.2309069533248,1460.6699418034034,1477.188551708213,964505
2025-02-27,1466.9580078125,1477.0887508597539,1451.2379271028237,1461.218930728015,1421562
2025-02-28,1427.7825927734375,1459.272708479798,1409.1679963293982,1457.2265539665982,2397364
2025-03-03,1405.8243408203125,1449.3914453987222,1402.4307752678294,1429.82870293639,1056418
2025-03-04,1390.45361328125,1412.3120359437535,1387.3595264747826,1389.555298572682,977231
2025-03-05,1418.0010986328125,1421.2948784770108,1377.2287242745233,1388.5073068067945,1118219
2025-03-06,1418.60009765625,1423.6903851505906,1392.350009318672,1414.4080030197633,1606815
2025-03-07,1411.5999755859375,1446.199951171875,1406.550048828125,1421.3499755859375,901496
2025-03-10,1419.449951171875,1427.75,1404.3499755859375,1419.0,1092967
2025-03-11,1417.25,1424.4000244140625,1397.449951171875,1403.0,691907
2025-03-12,1409.0,1425.0,1404.5,1425.0,734156
2025-03-13,1385.550048828125,1413.949951171875,1382.6500244140625,1411.699951171875,911321
2025-03-17,1434.25,1441.300048828125,1392.0,1392.0,1352197
2025-03-18,1434.25,1434.25,1434.25,1434.25,0
2025-03-19,1484.9000244140625,1488.9000244140625,1455.0,1457.949951171875,917293
2025-03-20,1498.3499755859375,1506.300048828125,1488.5,1492.0,798992
2025-03-21,1546.4000244140625,1553.300048828125,1493.449951171875,1500.0,1977397
2025-03-24,1569.800048828125,1584.0,1541.699951171875,1550.0,1229003
2025-03-25,1557.199951171875,1583.9000244140625,1551.300048828125,1577.6500244140625,1241287
2025-03-26,1541.300048828125,1570.300048828125,1533.449951171875,1564.300048828125,1106876
2025-03-27,1544.9000244140625,1552.0999755859375,1529.6500244140625,1541.4000244140625,1405775
2025-03-28,1547.8499755859375,1564.5,1534.75,1544.9000244140625,1120169
2025-04-01,1545.25,1566.4000244140625,1535.3499755859375,1537.75,937836
2025-04-02,1559.8499755859375,1563.1500244140625,1542.300048828125,1543.0,1876774
2025-04-03,1542.25,1558.9000244140625,1540.0,1546.0,373548
2025-04-04,1512.5999755859375,1546.9000244140625,1501.0999755859375,1536.3499755859375,826558
2025-04-07,1460.800048828125,1485.5,1430.550048828125,1450.0,916977
2025-04-08,1488.0,1498.050048828125,1458.050048828125,1490.0,2142568
2025-04-09,1481.6500244140625,1499.9000244140625,1475.0,1488.0,1047950
2025-04-11,1521.9000244140625,1539.0,1500.050048828125,1539.0,1134200
2025-04-15,1562.5999755859375,1574.0999755859375,1525.0,1555.5,1363406
2025-04-16,1565.4000244140625,1576.800048828125,1548.5,1548.5,784495
2025-04-17,1608.199951171875,1615.0,1549.4000244140625,1558.0,1500299
2025-04-21,1628.5,1630.699951171875,1595.300048828125,1618.0,1016066
2025-04-22,1619.0,1639.9000244140625,1612.800048828125,1627.800048828125,1102055
2025-04-23,1615.5,1625.0,1601.0,1625.0,1136215
2025-04-24,1608.199951171875,1636.5999755859375,1603.0,1612.9000244140625,857476
2025-04-25,1695.0999755859375,1762.0,1651.0999755859375,1723.5,10321746
2025-04-28,1736.0999755859375,1755.0,1681.4000244140625,1690.0,2100813
2025-04-29,1730.0999755859375,1764.9000244140625,1721.0,1733.9000244140625,2049847
2025-04-30,1765.800048828125,1772.5,1718.5,1722.0,2031563
2025-05-02,1762.199951171875,1777.0999755859375,1747.5999755859375,1761.0,902461
2025-05-05,1769.9000244140625,1787.5999755859375,1766.9000244140625,1773.0,947983
2025-05-06,1726.0,1797.800048828125,1717.199951171875,1770.0,1295777
2025-05-07,1744.5,1756.5,1712.300048828125,1714.0,753313
2025-05-08,1731.5,1744.0,1721.0999755859375,1741.300048828125,1107891
2025-05-09,1699.800048828125,1728.699951171875,1693.0999755859375,1706.0,1076900
2025-05-12,1751.5,1756.9000244140625,1720.0,1725.0,728808
2025-05-13,1740.0,1756.0,1732.300048828125,1742.699951171875,478541
2025-05-14,1755.199951171875,1760.0,1737.4000244140625,1741.0,603108
2025-05-15,1784.5999755859375,1788.4000244140625,1737.0999755859375,1757.699951171875,1318425
2025-05-16,1773.4000244140625,1790.9000244140625,1767.9000244140625,1790.0,696146
2025-05-19,1770.0,1781.199951171875,1764.4000244140625,1773.0999755859375,288530
2025-05-20,1757.800048828125,1778.800048828125,1753.300048828125,1778.800048828125,529693
2025-05-21,1763.9000244140625,1777.9000244140625,1751.199951171875,1756.9000244140625,521050
2025-05-22,1759.300048828125,1768.699951171875,1741.199951171875,1766.300048828125,1103303
2025-05-23,1798.699951171875,1806.0,1759.800048828125,1765.0,1067774
2025-05-26,1801.5999755859375,1810.0999755859375,1790.0999755859375,1806.0,633624
2025-05-27,1803.300048828125,1809.5999755859375,1794.0,1801.5999755859375,1219984
2025-05-28,1807.4000244140625,1814.5,1802.0999755859375,1810.5999755859375,763018
2025-05-29,1825.0,1830.0,1801.4000244140625,1807.5999755859375,1189803
2025-05-30,1812.199951171875,1833.9000244140625,1804.9000244140625,1825.0,1364259
2025-06-02,1802.5,1829.0,1795.5999755859375,1812.199951171875,1238769
2025-06-03,1775.300048828125,1814.0,1770.0999755859375,1809.800048828125,1576208
2025-06-04,1775.9000244140625,1779.0999755859375,1762.300048828125,1775.0,918721
2025-06-05,1774.800048828125,1791.0,1765.0,1782.0,912222
2025-06-06,1780.5999755859375,1783.5,1751.300048828125,1774.800048828125,1589674
2025-06-09,1790.800048828125,1799.0,1759.0999755859375,1789.5999755859375,1221496
2025-06-10,1785.5,1796.5999755859375,1772.0,1790.9000244140625,1400311
2025-06-11,1799.300048828125,1800.9000244140625,1774.0,1785.5,1089930
